Question,Context,Answer
What did Bharata do with Rama's sandals upon his return?,"The loyal brother returned the symbol of kingship to its rightful owner. Bharata, who had kept the sandals as a symbol of Rama's rule, himself took them and fastened them on Rama's feet.","Bharata, who had kept the sandals as a symbol of Rama's rule, himself took them and fastened them on Rama's feet."
What was the main reason for Ravana's conflict with Rama?,"The central conflict began when Ravana abducted Rama's wife, Sita, and took her to his kingdom of Lanka, refusing to return her.","Ravana abducted Rama's wife, Sita"
Name some of the trees that the monkeys broke down as they marched towards the Malaya Mountains.,"The energetic monkeys caused destruction as they marched through the forest. The monkeys broke down Champaka, Tilaka, Cuta, Praseka, Sindubaraka, Tinisha, Karavira, Ashoka, Karanja, Plaksha, Nyagrodha, Jambuka, and Amlaka Trees.","The monkeys broke down Champaka, Tilaka, Cuta, Praseka, Sindubaraka, Tinisha, Karavira, Ashoka, Karanja, Plaksha, Nyagrodha, Jambuka, and Amlaka Trees."
"After Jambumalin's death, who did Ravana send to fight Hanuman?","With his commander dead, Ravana escalated his response. He sent seven sons of his ministers at the head of a large army.",He sent seven sons of his ministers at the head of a large army.
How did Rama assign his monkey generals to attack Lanka's gates?,"Using Vibhishana's intelligence, Rama assigned his top generals to each of the city's gates. Rama assigned Nila to the eastern gate, Angada to the southern gate, and Hanuman to the western gate. He and Lakshmana would force an entry through the northern gate, with Sugriva and Jambavan occupying the central position.","Rama assigned Nila to the eastern gate, Angada to the southern gate, and Hanuman to the western gate. He and Lakshmana would force an entry through the northern gate, with Sugriva and Jambavan occupying the central position."
What did S'u'panakha' tell Khara that specifically incited his fury against Rama?,"The demoness told a tale designed to provoke her brother's wrath. She described her mutilation at the hands of Rama and Lakshman and exaggerated the insult to their demonic lineage, provoking his warrior pride and familial duty.","She described her mutilation at the hands of Rama and Lakshman and exaggerated the insult to their demonic lineage, provoking his warrior pride and familial duty."
What did Sita say about Hanuman's ability to enter Lanka alone?,"Fully convinced, Sita praised Hanuman's incredible feat. She praised him, saying he was full of courage, valour, and address to have entered the city alone.","She praised him, saying he was full of courage, valour, and address to have entered the city alone."
Who was Lakshmana's wife?,"Lakshmana was married to Urmila, the younger sister of Sita, who remained in Ayodhya during the long period of his exile.",Urmila
"What did the titan women, like Vikata and Chandari, threaten to do to Sita?","The guards made gruesome threats to the captive princess. Vikata threatened to tear out her heart and feast on it, while Chandari expressed a desire to feast on her liver, spleen, and other organs.","Vikata threatened to tear out her heart and feast on it, while Chandari expressed a desire to feast on her liver, spleen, and other organs."
What specific actions or words by S'u'panakha' led to her disfigurement?,"The demoness's jealousy quickly turned to violence. Realizing she was being mocked and seeing Sita as the cause, S'u'panakha' dropped her disguise, returned to her monstrous form, and lunged at Sita with the intent to kill and devour her.","Realizing she was being mocked and seeing Sita as the cause, S'u'panakha' dropped her disguise, returned to her monstrous form, and lunged at Sita with the intent to kill and devour her."
